Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
-785,-352,45%,-401.03,-393.05,113%
-623,-415,67%,,,
-587,-469,80%,,,
-542,-361,67%,,,
-542,-433,80%,,,
-542,-469,87%,,,
-434,-406,94%,,,
-299,-415,139%,,,
-587,-460,78%,,,
-551,-334,61%,,,
-398,-334,84%,,,
-416,-379,91%,,,
-461,-334,72%,,,
-560,-460,82%,,,
-234,-406,174%,,,
-329,-460,140%,,,
-272,-352,129%,,,
-245,-415,169%,,,
-380,-334,88%,,,
-254,-379,149%,,,
-335,-487,145%,,,
-587,-433,74%,,,
-362,-433,120%,,,
-254,-451,178%,,,
-200,-388,194%,,,
-209,-442,211%,,,
-218,-388,178%,,,
-542,-379,70%,,,
-353,-397,112%,,,
-371,-343,92%,,,
-371,-325,88%,,,
-614,-269,44%,,,
-212,-388,183%,,,
-290,-307,106%,,,
-245,-325,133%,,,
-425,-433,102%,,,
-209,-388,186%,,,
-209,-388,186%,,,
-236,-415,176%,,,
-235,-451,192%,,,
-77,-433,562%,,,
-362,-397,110%,,,
-200,-379,190%,,,
-299,-406,136%,,,
-236,-406,172%,,,
-211,-352,167%,,,
-200,-397,199%,,,
-200,-415,208%,,,
-218,-424,194%,,,
-127,-334,263%,,,
-137,-433,316%,,,
-317,-334,105%,,,
-398,-505,127%,,,
-434,-460,106%,,,
-236,-379,161%,,,
-236,-379,161%,,,
-227,-388,171%,,,
-282,-388,138%,,,
-578,-379,66%,,,
-200,-397,199%,,,
-335,-415,124%,,,
-200,-379,190%,,,
-209,-397,190%,,,
-200,-406,203%,,,
-236,-424,180%,,,
-227,-424,187%,,,
-120,-415,346%,,,
-218,-388,178%,,,
-10,-415,4150%,,,
-209,-388,186%,,,
-13,-424,3262%,,,
-218,-370,170%,,,
-209,-433,207%,,,
-317,-388,122%,,,
-100,-343,343%,,,
-8,-352,4400%,,,
-209,-442,211%,,,
-209,-397,190%,,,
-218,-460,211%,,,
-461,-334,72%,,,
-479,-388,81%,,,
-209,-406,194%,,,
-309,-406,131%,,,
-93,-388,417%,,,
-155,-361,233%,,,
-227,-352,155%,,,
-81,-325,401%,,,
-326,-370,113%,,,
-281,-334,119%,,,
-65,-415,638%,,,
-479,-442,92%,,,
-371,-451,122%,,,
-200,-442,221%,,,
-245,-406,166%,,,
-78,-379,486%,,,
-254,-370,146%,,,
-200,-406,203%,,,
8,-370,-4625%,,,
-106,-370,349%,,,
-209,-433,207%,,,
-187,-397,212%,,,
-245,-370,151%,,,
-245,-406,166%,,,
-149,-370,248%,,,
-218,-352,161%,,,
-452,-451,100%,,,
-542,-442,82%,,,
-227,-379,167%,,,
-506,-361,71%,,,
-209,-307,147%,,,
-200,-460,230%,,,
-200,-451,226%,,,
-119,-388,326%,,,
-209,-397,190%,,,
-209,-361,173%,,,
-37,-325,878%,,,
-308,-424,138%,,,
-167,-370,222%,,,
-200,-442,221%,,,
-227,-334,147%,,,
-283,-379,134%,,,
-27,-451,1670%,,,
-213,-406,191%,,,
-218,-388,178%,,,
-227,-442,195%,,,
-42,-343,817%,,,
-272,-397,146%,,,
-506,-406,80%,,,
-147,-397,270%,,,
4,-415,-10375%,,,
-227,-433,191%,,,
-146,-343,235%,,,
-39,-487,1249%,,,
-107,-370,346%,,,
-245,-85,35%,,,
-218,-406,186%,,,
-461,-388,84%,,,
-209,-370,177%,,,
-407,-361,89%,,,
-209,-361,173%,,,
-77,-334,434%,,,
-155,-433,279%,,,
-30,-307,1023%,,,
-40,-361,903%,,,
-353,-271,77%,,,
-177,-406,229%,,,
-56,-379,677%,,,
-470,-451,96%,,,
-145,-397,274%,,,
-62,-451,727%,,,
-113,-370,327%,,,
-211,-469,222%,,,
-389,-325,84%,,,
-245,-361,147%,,,
-191,-379,198%,,,
-200,-343,172%,,,
-200,-451,226%,,,
-23,-379,1648%,,,
-353,-424,120%,,,
-344,-361,105%,,,
-231,-352,152%,,,
-120,-352,293%,,,
-136,-388,285%,,,
-212,-415,196%,,,
-407,-487,120%,,,
-254,-388,153%,,,
-173,-415,240%,,,
-146,-415,284%,,,
-109,-397,364%,,,
-150,-397,265%,,,
-33,-424,1285%,,,
-129,-298,231%,,,
-190,-388,204%,,,
-158,-379,240%,,,
-107,-451,421%,,,
-209,-478,229%,,,
-174,-370,213%,,,
-542,-289,53%,,,
-236,-325,138%,,,
-515,-397,77%,,,
-200,-406,203%,,,
-32,-388,1213%,,,
-99,-388,392%,,,
-116,-433,373%,,,
-103,-415,403%,,,
-115,-361,314%,,,
-175,-469,268%,,,
-326,-370,113%,,,
-202,-460,228%,,,
-236,-406,172%,,,
-129,-375,291%,,,
-25,-316,1264%,,,
-132,-307,233%,,,
-133,-370,278%,,,
-363,-433,119%,,,
-130,-433,333%,,,
-218,-433,199%,,,
-145,-370,255%,,,
-218,-303,139%,,,
-91,-370,407%,,,
-270,-388,144%,,,
-245,-370,151%,,,
-69,-343,497%,,,
-461,-406,88%,,,
-160,-424,265%,,,
-112,-334,298%,,,
-208,-415,200%,,,
-163,-343,210%,,,
-434,-361,83%,,,
-227,-442,195%,,,
-124,-145,117%,,,
-173,-370,214%,,,
-272,-415,153%,,,
-198,-370,187%,,,
-79,-469,594%,,,
-49,-361,737%,,,
-279,-433,155%,,,
-127,-415,327%,,,
-47,-316,672%,,,
-142,-370,261%,,,
-146,-298,204%,,,
-226,-298,132%,,,
-189,-397,210%,,,
-251,-343,137%,,,
-376,-352,94%,,,
-158,-370,234%,,,
-38,-415,1092%,,,
-200,-424,212%,,,
-19,-370,1947%,,,
-85,-442,520%,,,
-97,-415,428%,,,
-86,-478,556%,,,
-108,-352,326%,,,
-95,-334,352%,,,
-227,-379,167%,,,
-108,-460,426%,,,
-151,-451,299%,,,
-111,-424,382%,,,
-209,-415,199%,,,
-479,-334,70%,,,
-72,-316,439%,,,
-362,-361,100%,,,
-311,-397,128%,,,
-184,-379,206%,,,
-42,-361,860%,,,
-175,-424,242%,,,
-128,-415,324%,,,
4,-352,-8800%,,,
-153,-352,230%,,,
-35,-424,1211%,,,
-488,-388,80%,,,
-25,-361,1444%,,,
-337,-415,123%,,,
-133,-433,326%,,,
-157,-442,282%,,,
-52,-397,763%,,,
-160,-361,226%,,,
-20,-469,2345%,,,
-110,-415,377%,,,
-28,-388,1386%,,,
-30,-370,1233%,,,
-11,-361,3282%,,,
-380,-496,131%,,,
-135,-397,294%,,,
-60,-343,572%,,,
-92,-406,441%,,,
-246,-406,165%,,,
-139,-424,305%,,,
-479,-388,81%,,,
14,-415,-2964%,,,
-218,-343,157%,,,
-75,-397,529%,,,
-172,-505,294%,,,
-281,-406,144%,,,
-326,-388,119%,,,
-98,-388,396%,,,
-250,-424,170%,,,
-131,-334,255%,,,
-12,-325,2708%,,,
-416,-442,106%,,,
-10,-388,3880%,,,
-163,-352,216%,,,
-88,-298,339%,,,
-39,-334,856%,,,
-73,-397,544%,,,
-9,-397,4411%,,,
-218,-397,182%,,,
-109,-343,315%,,,
-202,-406,201%,,,
-90,-460,511%,,,
-28,-397,1418%,,,
-56,-370,661%,,,
-161,-388,241%,,,
-149,-343,230%,,,
0,-406,#DIV/0!,,,
-193,-361,187%,,,
-258,-379,147%,,,
-249,-343,138%,,,
-153,-487,318%,,,
-140,-370,264%,,,
-17,-361,2124%,,,
-140,-442,316%,,,
13,-451,-3469%,,,
-92,-415,451%,,,
-11,-469,4264%,,,
-161,-460,286%,,,
-126,-406,322%,,,
-162,-424,262%,,,
-447,-334,75%,,,
-245,-406,166%,,,
-213,-424,199%,,,
-162,-325,201%,,,
-25,-379,1516%,,,
-99,-271,274%,,,
-506,-406,80%,,,
-156,-433,278%,,,
-49,-424,865%,,,
-94,-424,451%,,,
-39,-424,1087%,,,
-8,-334,4175%,,,
-168,-352,210%,,,
-111,-325,293%,,,
-32,-343,1072%,,,
-145,-343,237%,,,
-134,-361,269%,,,
-193,-334,173%,,,
-252,-325,129%,,,
-419,-334,80%,,,
-71,-406,572%,,,
4,-307,-7675%,,,
-29,-388,1338%,,,
-83,-379,457%,,,
-191,-442,231%,,,
-114,-361,317%,,,
8,-361,-4513%,,,
-16,-325,2031%,,,
-50,-343,686%,,,
-12,-334,2783%,,,
-104,-469,451%,,,
-6,-406,6767%,,,
-227,-397,175%,,,
-199,-415,209%,,,
-77,-424,551%,,,
-10,-433,4330%,,,
-66,-370,561%,,,
-168,-415,247%,,,
-6,-424,7067%,,,
-60,-334,557%,,,
-70,-388,554%,,,
-243,-370,152%,,,
-43,-442,1028%,,,
-105,-451,430%,,,
-2,-316,15800%,,,
-2,-397,19850%,,,
-119,-415,349%,,,
-71,-487,686%,,,
-209,-433,207%,,,
-19,-307,1616%,,,
-95,-379,399%,,,
-114,-325,285%,,,
-3,-316,10533%,,,
-93,-406,437%,,,
-45,-352,782%,,,
-4,-388,9700%,,,
-59,-361,612%,,,
-168,-406,242%,,,
3,-352,-11733%,,,
-169,-388,230%,,,
-39,-406,1041%,,,
-36,-352,978%,,,
-56,-370,661%,,,
-69,-442,641%,,,
-29,-433,1493%,,,
-44,-442,1005%,,,
-155,-379,245%,,,
-23,-451,1961%,,,
-63,-379,602%,,,
-35,-415,1186%,,,
-140,-388,277%,,,
-78,-370,474%,,,
-22,-406,1845%,,,
5,-451,-9020%,,,
-193,-352,182%,,,
-126,-397,315%,,,
-18,-379,2106%,,,
-221,-415,188%,,,
-121,-325,269%,,,
8,-424,-5300%,,,
-110,-388,353%,,,
-169,-415,246%,,,
-49,-478,976%,,,
-44,-298,677%,,,
-11,-397,3609%,,,
-106,-496,468%,,,
-57,-325,570%,,,
-57,-442,775%,,,
-72,-469,651%,,,
-448,-406,91%,,,
-52,-379,729%,,,
5,-325,-6500%,,,
0,-442,#DIV/0!,,,
-170,-352,207%,,,
-155,-352,227%,,,
-37,-370,1000%,,,
-5,-424,8480%,,,
-86,-397,462%,,,
7,-415,-5929%,,,
-167,-469,281%,,,
-16,-397,2481%,,,
-10,-406,4060%,,,
-135,-352,261%,,,
-24,-406,1692%,,,
-67,-433,646%,,,
-86,-406,472%,,,
-51,-433,849%,,,
-24,-406,1692%,,,
-80,-352,440%,,,
-241,-316,131%,,,
-354,-487,138%,,,
-106,-397,375%,,,
-2,-388,19400%,,,
-63,-397,630%,,,
-94,-397,422%,,,
10,-379,-3790%,,,
1,-379,-37900%,,,
11,-406,-3691%,,,
-3,-523,17433%,,,
-142,-370,261%,,,
-105,-442,421%,,,
-53,-442,834%,,,
-39,-316,810%,,,
-16,-337,2106%,,,
-14,-370,2643%,,,
-29,-415,1431%,,,
-44,-397,902%,,,
-46,-361,785%,,,
3,-442,-14733%,,,
6,-289,-4817%,,,
10,-442,-4420%,,,
-341,-424,124%,,,
-41,-361,880%,,,
-66,-352,533%,,,
-3,-379,12633%,,,
-28,-424,1514%,,,
-48,-295,615%,,,
-8,-388,4850%,,,
-35,-397,1134%,,,
-87,-424,487%,,,
-91,-442,486%,,,
-322,-370,115%,,,
-58,-370,638%,,,
0,-415,#DIV/0!,,,
-52,-424,815%,,,
-42,-343,817%,,,
-61,-415,680%,,,
-86,-361,420%,,,
-35,-415,1186%,,,
-23,-352,1530%,,,
-30,-406,1353%,,,
-103,-370,359%,,,
-92,-370,402%,,,
-102,-370,363%,,,
-112,-406,363%,,,
9,-460,-5111%,,,
-13,-397,3054%,,,
-62,-424,684%,,,
-4,-352,8800%,,,
-47,-370,787%,,,
-68,-316,465%,,,
-196,-451,230%,,,
-105,-361,344%,,,
-67,-334,499%,,,
-6,-388,6467%,,,
14,-460,-3286%,,,
12,-370,-3083%,,,
-75,-433,577%,,,
-19,-451,2374%,,,
7,-487,-6957%,,,
-14,-379,2707%,,,
-23,-487,2117%,,,
-7,-370,5286%,,,
-107,-334,312%,,,
10,-433,-4330%,,,
-62,-451,727%,,,
-162,-433,267%,,,
-47,-370,787%,,,
-38,-334,879%,,,
-43,-478,1112%,,,
-27,-388,1437%,,,
-46,-343,746%,,,
-34,-397,1168%,,,
-72,-406,564%,,,
-26,-334,1285%,,,
-31,-406,1310%,,,
-121,-442,365%,,,
-14,-352,2514%,,,
-98,-379,387%,,,
-28,-388,1386%,,,
-20,-424,2120%,,,
6,-379,-6317%,,,
-40,-397,993%,,,
-18,-469,2606%,,,
-67,-343,512%,,,
-3,-388,12933%,,,
-13,-406,3123%,,,
-35,-379,1083%,,,
-41,-442,1078%,,,
-46,-433,941%,,,
-145,-370,255%,,,
-17,-388,2282%,,,
-11,-370,3364%,,,
-32,-442,1381%,,,
-5,-361,7220%,,,
-36,-451,1253%,,,
-104,-361,347%,,,
-15,-460,3067%,,,
-38,-424,1116%,,,
-9,-388,4311%,,,
-11,-406,3691%,,,
-19,-415,2184%,,,
-73,-478,655%,,,
-13,-397,3054%,,,
9,-370,-4111%,,,
-162,-102,63%,,,
2,-388,-19400%,,,
-153,-343,224%,,,
-8,-370,4625%,,,
-132,-532,403%,,,
8,-370,-4625%,,,
11,-334,-3036%,,,
-130,-424,326%,,,
12,-316,-2633%,,,
-38,-379,997%,,,
-134,-388,290%,,,
-17,-352,2071%,,,
-5,-397,7940%,,,
-49,-370,755%,,,
8,-388,-4850%,,,
-84,-406,483%,,,
-63,-316,502%,,,
5,-370,-7400%,,,
-21,-370,1762%,,,
-17,-397,2335%,,,
-32,-379,1184%,,,
8,-451,-5638%,,,
10,-415,-4150%,,,
-32,-505,1578%,,,
8,-361,-4513%,,,
11,-424,-3855%,,,
3,-451,-15033%,,,
-63,-397,630%,,,
-30,-460,1533%,,,
1,-361,-36100%,,,
5,-388,-7760%,,,
-62,-265,427%,,,
-33,-397,1203%,,,
-92,-379,412%,,,
-68,-469,690%,,,
-57,-469,823%,,,
-2,-415,20750%,,,
7,-397,-5671%,,,
-106,-388,366%,,,
-11,-307,2791%,,,
-41,-433,1056%,,,
-170,-343,202%,,,
-20,-361,1805%,,,
-4,-334,8350%,,,
2,-361,-18050%,,,
-16,-370,2313%,,,
-131,-352,269%,,,
12,-379,-3158%,,,
-14,-469,3350%,,,
-41,-370,902%,,,
-7,-424,6057%,,,
-36,-325,903%,,,
10,-469,-4690%,,,
-25,-361,1444%,,,
-110,-325,295%,,,
13,-406,-3123%,,,
13,-379,-2915%,,,
12,-370,-3083%,,,
-9,-343,3811%,,,
11,-361,-3282%,,,
15,-424,-2827%,,,
12,-433,-3608%,,,
-90,-379,421%,,,
-45,-406,902%,,,
3,-424,-14133%,,,
-156,-460,295%,,,
-82,-289,352%,,,
-9,-343,3811%,,,
-75,-370,493%,,,
-10,-370,3700%,,,
-125,-370,296%,,,
-55,-316,575%,,,
6,-352,-5867%,,,
-14,-334,2386%,,,
7,-415,-5929%,,,
-16,-343,2144%,,,
-4,-424,10600%,,,
-85,-370,435%,,,
-1,-415,41500%,,,
4,-361,-9025%,,,
10,-325,-3250%,,,
-54,-442,819%,,,
10,-469,-4690%,,,
-61,-379,621%,,,
-53,-379,715%,,,
-8,-469,5863%,,,
0,-388,#DIV/0!,,,
-61,-406,666%,,,
-24,-451,1879%,,,
0,-343,#DIV/0!,,,
-42,-433,1031%,,,
-29,-307,1059%,,,
10,-442,-4420%,,,
-7,-451,6443%,,,
-34,-379,1115%,,,
-30,-379,1263%,,,
-39,-406,1041%,,,
-3,-388,12933%,,,
-8,-397,4963%,,,
-15,-415,2767%,,,
-10,-487,4870%,,,
-35,-388,1109%,,,
-6,-424,7067%,,,
-15,-388,2587%,,,
-54,-334,619%,,,
12,-451,-3758%,,,
-24,-415,1729%,,,
-17,-334,1965%,,,
-9,-352,3911%,,,
3,-343,-11433%,,,
-39,-325,833%,,,
-1,-379,37900%,,,
4,-379,-9475%,,,
-42,-388,924%,,,
-16,-343,2144%,,,
-32,-334,1044%,,,
-16,-415,2594%,,,
-118,-370,314%,,,
11,-370,-3364%,,,
-12,-379,3158%,,,
-31,-397,1281%,,,
2,-325,-16250%,,,
-5,-424,8480%,,,
-7,-397,5671%,,,
9,-370,-4111%,,,
-97,-415,428%,,,
-38,-451,1187%,,,
-119,-406,341%,,,
-22,-433,1968%,,,
-112,-352,314%,,,
-129,-352,273%,,,
12,-397,-3308%,,,
-14,-424,3029%,,,
6,-370,-6167%,,,
9,-451,-5011%,,,
11,-379,-3445%,,,
11,-388,-3527%,,,
6,-496,-8267%,,,
-60,-312,520%,,,
14,-451,-3221%,,,
14,-397,-2836%,,,
-25,-325,1300%,,,
2,-370,-18500%,,,
-44,-406,923%,,,
-42,-388,924%,,,
-17,-397,2335%,,,
5,-424,-8480%,,,
10,-442,-4420%,,,
0,-388,#DIV/0!,,,
-51,-352,690%,,,
9,-451,-5011%,,,
-45,-469,1042%,,,
5,-370,-7400%,,,
-229,-343,150%,,,
0,-406,#DIV/0!,,,
-26,-460,1769%,,,
-10,-370,3700%,,,
-100,-406,406%,,,
4,-316,-7900%,,,
-123,-388,315%,,,
10,-406,-4060%,,,
-12,-379,3158%,,,
-10,-397,3970%,,,
-8,-451,5638%,,,
11,-379,-3445%,,,
-9,-415,4611%,,,
-23,-298,1296%,,,
-1,-316,31600%,,,
9,-388,-4311%,,,
-2,-433,21650%,,,
0,-343,#DIV/0!,,,
-119,-433,364%,,,
-78,-379,486%,,,
11,-361,-3282%,,,
15,-361,-2407%,,,
-25,-433,1732%,,,
-4,-496,12400%,,,
-17,-433,2547%,,,
-5,-415,8300%,,,
10,-433,-4330%,,,
-9,-388,4311%,,,
11,-424,-3855%,,,
-60,-379,632%,,,
-78,-478,613%,,,
8,-343,-4288%,,,
-84,-406,483%,,,
6,-415,-6917%,,,
-68,-469,690%,,,
4,-433,-10825%,,,
-12,-325,2708%,,,
-29,-406,1400%,,,
-24,-424,1767%,,,
-31,-370,1194%,,,
10,-343,-3430%,,,
-28,-451,1611%,,,
0,-388,#DIV/0!,,,
11,-442,-4018%,,,
12,-424,-3533%,,,
8,-433,-5413%,,,
11,-316,-2873%,,,
-8,-451,5638%,,,
-52,-478,919%,,,
-17,-451,2653%,,,
-20,-397,1985%,,,
2,-460,-23000%,,,
8,-451,-5638%,,,
-33,-415,1258%,,,
12,-370,-3083%,,,
2,-325,-16250%,,,
11,-361,-3282%,,,
-19,-325,1711%,,,
-140,-424,303%,,,
-101,-325,322%,,,
-24,-379,1579%,,,
-37,-343,927%,,,
3,-289,-9633%,,,
-29,-361,1245%,,,
1,-361,-36100%,,,
10,-487,-4870%,,,
-35,-379,1083%,,,
14,-397,-2836%,,,
11,-352,-3200%,,,
11,-343,-3118%,,,
-24,-352,1467%,,,
10,-424,-4240%,,,
10,-433,-4330%,,,
-15,-325,2167%,,,
-21,-352,1676%,,,
-7,-478,6829%,,,
11,-433,-3936%,,,
8,-397,-4963%,,,
-40,-415,1038%,,,
-19,-397,2089%,,,
-116,-388,334%,,,
0,-433,#DIV/0!,,,
-25,-478,1912%,,,
-34,-415,1221%,,,
-60,-370,617%,,,
2,-361,-18050%,,,
-13,-397,3054%,,,
8,-424,-5300%,,,
9,-298,-3311%,,,
10,-122,-1220%,,,
-50,-424,848%,,,
-29,-424,1462%,,,
9,-352,-3911%,,,
-21,-379,1805%,,,
7,-388,-5543%,,,
-19,-379,1995%,,,
4,-370,-9250%,,,
10,-433,-4330%,,,
-45,-442,982%,,,
-17,-388,2282%,,,
-82,-397,484%,,,
-66,-343,520%,,,
-41,-415,1012%,,,
-36,-352,978%,,,
-3,-334,11133%,,,
-25,-352,1408%,,,
11,-334,-3036%,,,
-4,-415,10375%,,,
8,-325,-4063%,,,
0,-406,#DIV/0!,,,
7,-406,-5800%,,,
9,-469,-5211%,,,
-12,-370,3083%,,,
-8,-478,5975%,,,
12,-424,-3533%,,,
5,-379,-7580%,,,
1,-451,-45100%,,,
-6,-451,7517%,,,
2,-361,-18050%,,,
-47,-370,787%,,,
11,-433,-3936%,,,
-31,-433,1397%,,,
10,-415,-4150%,,,
11,-388,-3527%,,,
-1,-406,40600%,,,
-92,-424,461%,,,
-17,-379,2229%,,,
9,-370,-4111%,,,
7,-451,-6443%,,,
-7,-370,5286%,,,
12,-424,-3533%,,,
-9,-370,4111%,,,
5,-352,-7040%,,,
5,-370,-7400%,,,
-48,-424,883%,,,
-13,-325,2500%,,,
-118,-343,291%,,,
-17,-379,2229%,,,
6,-370,-6167%,,,
-34,-442,1300%,,,
-66,-388,588%,,,
11,-379,-3445%,,,
7,-334,-4771%,,,
1,-433,-43300%,,,
10,-442,-4420%,,,
10,-406,-4060%,,,
-77,-361,469%,,,
10,-415,-4150%,,,
9,-352,-3911%,,,
2,-379,-18950%,,,
2,-424,-21200%,,,
10,-406,-4060%,,,
9,-415,-4611%,,,
15,-379,-2527%,,,
-15,-325,2167%,,,
-8,-343,4288%,,,
-30,-325,1083%,,,
14,-379,-2707%,,,
-68,-343,504%,,,
10,-397,-3970%,,,
7,-397,-5671%,,,
-4,-397,9925%,,,
-12,-406,3383%,,,
8,-397,-4963%,,,
-1,-424,42400%,,,
-17,-469,2759%,,,
8,-406,-5075%,,,
-60,-370,617%,,,
-1,-469,46900%,,,
7,-442,-6314%,,,
-64,-379,592%,,,
-27,-370,1370%,,,
8,-379,-4738%,,,
8,-415,-5188%,,,
-19,-397,2089%,,,
-13,-406,3123%,,,
-56,-388,693%,,,
-37,-415,1122%,,,
-11,-325,2955%,,,
-4,-406,10150%,,,
-8,-361,4513%,,,
6,-370,-6167%,,,
-6,-370,6167%,,,
8,-352,-4400%,,,
-9,-433,4811%,,,
-28,-406,1450%,,,
11,-388,-3527%,,,
10,-379,-3790%,,,
12,-442,-3683%,,,
-63,-388,616%,,,
9,-451,-5011%,,,
-151,-424,281%,,,
2,-316,-15800%,,,
-5,-370,7400%,,,
8,-415,-5188%,,,
-50,-343,686%,,,
5,-343,-6860%,,,
-68,-379,557%,,,
-9,-397,4411%,,,
11,-433,-3936%,,,
-20,-406,2030%,,,
-98,-370,378%,,,
11,-451,-4100%,,,
6,-388,-6467%,,,
-14,-352,2514%,,,
-23,-352,1530%,,,
-5,-150,3000%,,,
12,-352,-2933%,,,
8,-325,-4063%,,,
-11,-406,3691%,,,
-13,-415,3192%,,,
-11,-352,3200%,,,
4,-460,-11500%,,,
1,-415,-41500%,,,
-50,-204,408%,,,
-8,-451,5638%,,,
11,-370,-3364%,,,
-21,-352,1676%,,,
-57,-388,681%,,,
3,-433,-14433%,,,
12,-379,-3158%,,,
-13,-352,2708%,,,
10,-406,-4060%,,,
6,-397,-6617%,,,
-144,-415,288%,,,
-9,-442,4911%,,,
4,-406,-10150%,,,
0,-424,#DIV/0!,,,
2,-370,-18500%,,,
-22,-397,1805%,,,
-15,-433,2887%,,,
-17,-433,2547%,,,
-39,-325,833%,,,
-14,-157,1121%,,,
9,-379,-4211%,,,
9,-334,-3711%,,,
7,-352,-5029%,,,
8,-406,-5075%,,,
-4,-325,8125%,,,
-14,-397,2836%,,,
-8,-406,5075%,,,
12,-388,-3233%,,,
8,-469,-5863%,,,
-58,-397,684%,,,
-15,-469,3127%,,,
9,-343,-3811%,,,
10,-379,-3790%,,,
7,-415,-5929%,,,
-110,-397,361%,,,
-47,-397,845%,,,
4,-424,-10600%,,,
9,-424,-4711%,,,
-43,-469,1091%,,,
9,-424,-4711%,,,
12,-397,-3308%,,,
9,-343,-3811%,,,
-5,-433,8660%,,,
10,-361,-3610%,,,
-30,-370,1233%,,,
-42,-370,881%,,,
-114,-370,325%,,,
-35,-343,980%,,,
3,-406,-13533%,,,
10,-406,-4060%,,,
9,-433,-4811%,,,
-6,-334,5567%,,,
-4,-433,10825%,,,
10,-406,-4060%,,,
-22,-325,1477%,,,
-9,-379,4211%,,,
13,-343,-2638%,,,
-17,-460,2706%,,,
8,-433,-5413%,,,
9,-361,-4011%,,,
-9,-334,3711%,,,
-58,-424,731%,,,
-143,-442,309%,,,
9,-433,-4811%,,,
-143,-424,297%,,,
-21,-406,1933%,,,
2,-334,-16700%,,,
-22,-352,1600%,,,
-24,-442,1842%,,,
6,-343,-5717%,,,
8,-424,-5300%,,,
-14,-298,2129%,,,
8,-370,-4625%,,,
13,-379,-2915%,,,
-1,-397,39700%,,,
3,-379,-12633%,,,
5,-352,-7040%,,,
-2,-316,15800%,,,
4,-397,-9925%,,,
-50,-442,884%,,,
-36,-397,1103%,,,
-2,-397,19850%,,,
4,-72,-1800%,,,
-32,-361,1128%,,,
6,-96,-1600%,,,
12,-415,-3458%,,,
13,-343,-2638%,,,
-84,-397,473%,,,
-21,-379,1805%,,,
9,-406,-4511%,,,
-5,-370,7400%,,,
9,-460,-5111%,,,
10,-487,-4870%,,,
8,-415,-5188%,,,
-42,-451,1074%,,,
4,-388,-9700%,,,
14,-451,-3221%,,,
8,-361,-4513%,,,
4,-298,-7450%,,,
-4,-370,9250%,,,
