Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
5,-514,-10280%,,,
11,-424,-3855%,,,
-14,-451,3221%,,,
-24,-379,1579%,,,
11,-370,-3364%,,,
-58,-388,669%,,,
-24,-388,1617%,,,
2,-415,-20750%,,,
1,-397,-39700%,,,
14,-325,-2321%,,,
14,-352,-2514%,,,
9,-388,-4311%,,,
10,-406,-4060%,,,
3,-388,-12933%,,,
-6,-379,6317%,,,
15,-433,-2887%,,,
8,-451,-5638%,,,
-3,-343,11433%,,,
2,-406,-20300%,,,
-5,-379,7580%,,,
-26,-388,1492%,,,
3,-379,-12633%,,,
5,-406,-8120%,,,
-37,-325,878%,,,
-153,-361,236%,,,
8,-352,-4400%,,,
10,-460,-4600%,,,
2,-325,-16250%,,,
-60,-370,617%,,,
14,-415,-2964%,,,
-17,-343,2018%,,,
-47,-451,960%,,,
6,-397,-6617%,,,
11,-442,-4018%,,,
-17,-397,2335%,,,
-37,-424,1146%,,,
-26,-442,1700%,,,
11,-370,-3364%,,,
-9,-406,4511%,,,
0,-433,#DIV/0!,,,
6,-415,-6917%,,,
-17,-388,2282%,,,
8,-388,-4850%,,,
-12,-424,3533%,,,
9,-370,-4111%,,,
7,-406,-5800%,,,
6,-334,-5567%,,,
10,-334,-3340%,,,
-72,-424,589%,,,
6,-433,-7217%,,,
10,-167,-1670%,,,
-3,-388,12933%,,,
5,-433,-8660%,,,
4,-379,-9475%,,,
-16,-424,2650%,,,
-22,-424,1927%,,,
8,-433,-5413%,,,
6,-289,-4817%,,,
-31,-379,1223%,,,
0,-433,#DIV/0!,,,
-38,-316,832%,,,
-10,-316,3160%,,,
-10,-370,3700%,,,
1,-379,-37900%,,,
-2,-334,16700%,,,
9,-325,-3611%,,,
9,-442,-4911%,,,
8,-442,-5525%,,,
7,-397,-5671%,,,
9,-388,-4311%,,,
2,-424,-21200%,,,
5,-379,-7580%,,,
-106,-406,383%,,,
13,-177,-1362%,,,
-17,-388,2282%,,,
6,-361,-6017%,,,
11,-397,-3609%,,,
4,-361,-9025%,,,
7,-415,-5929%,,,
3,-415,-13833%,,,
7,-379,-5414%,,,
7,-460,-6571%,,,
8,-433,-5413%,,,
9,-352,-3911%,,,
8,-415,-5188%,,,
7,-325,-4643%,,,
-5,-343,6860%,,,
10,-442,-4420%,,,
11,-343,-3118%,,,
11,-424,-3855%,,,
9,-379,-4211%,,,
-12,-352,2933%,,,
-12,-388,3233%,,,
3,-397,-13233%,,,
8,-312,-3900%,,,
2,-406,-20300%,,,
13,-415,-3192%,,,
10,-370,-3700%,,,
-2,-379,18950%,,,
-33,-370,1121%,,,
10,-469,-4690%,,,
1,-460,-46000%,,,
-48,-442,921%,,,
-19,-352,1853%,,,
-3,-388,12933%,,,
0,-424,#DIV/0!,,,
8,-388,-4850%,,,
4,-361,-9025%,,,
-57,-478,839%,,,
1,-370,-37000%,,,
1,-433,-43300%,,,
10,-424,-4240%,,,
7,-15,-214%,,,
12,-379,-3158%,,,
-18,-406,2256%,,,
-61,-298,489%,,,
-29,-352,1214%,,,
-87,-460,529%,,,
11,-388,-3527%,,,
9,-352,-3911%,,,
8,-406,-5075%,,,
6,-352,-5867%,,,
11,-406,-3691%,,,
-12,-379,3158%,,,
5,-487,-9740%,,,
-3,-379,12633%,,,
8,-397,-4963%,,,
8,-388,-4850%,,,
7,-370,-5286%,,,
-40,-397,993%,,,
5,-379,-7580%,,,
-1,-415,41500%,,,
-1,-388,38800%,,,
-4,-433,10825%,,,
6,-415,-6917%,,,
10,-397,-3970%,,,
10,-352,-3520%,,,
-11,-397,3609%,,,
10,-325,-3250%,,,
8,-361,-4513%,,,
10,-442,-4420%,,,
11,-424,-3855%,,,
8,-352,-4400%,,,
-32,-388,1213%,,,
-11,-397,3609%,,,
-3,-370,12333%,,,
5,-370,-7400%,,,
-40,-361,903%,,,
-12,-325,2708%,,,
8,-406,-5075%,,,
-40,-424,1060%,,,
0,-388,#DIV/0!,,,
-22,-334,1518%,,,
15,-397,-2647%,,,
10,-280,-2800%,,,
-54,-415,769%,,,
-29,-352,1214%,,,
-13,-352,2708%,,,
10,-388,-3880%,,,
9,-397,-4411%,,,
-7,-316,4514%,,,
9,-433,-4811%,,,
-38,-352,926%,,,
-10,-442,4420%,,,
3,-307,-10233%,,,
4,-406,-10150%,,,
10,-361,-3610%,,,
8,-397,-4963%,,,
10,-352,-3520%,,,
9,-316,-3511%,,,
9,-442,-4911%,,,
1,-397,-39700%,,,
-73,-379,519%,,,
-3,-442,14733%,,,
14,-388,-2771%,,,
-8,-397,4963%,,,
5,-343,-6860%,,,
7,-379,-5414%,,,
8,-388,-4850%,,,
-20,-334,1670%,,,
9,-370,-4111%,,,
-1,-442,44200%,,,
6,-388,-6467%,,,
-20,-415,2075%,,,
4,-379,-9475%,,,
1,-388,-38800%,,,
4,-415,-10375%,,,
9,-406,-4511%,,,
-11,-379,3445%,,,
-4,-415,10375%,,,
4,-415,-10375%,,,
9,-307,-3411%,,,
-20,-469,2345%,,,
5,-451,-9020%,,,
3,-271,-9033%,,,
8,-361,-4513%,,,
-42,-433,1031%,,,
1,-379,-37900%,,,
-65,-388,597%,,,
-13,-397,3054%,,,
11,-388,-3527%,,,
-25,-442,1768%,,,
9,-388,-4311%,,,
5,-388,-7760%,,,
-1,-343,34300%,,,
2,-334,-16700%,,,
4,-388,-9700%,,,
1,-361,-36100%,,,
11,-442,-4018%,,,
5,-397,-7940%,,,
4,-307,-7675%,,,
13,-343,-2638%,,,
-21,-361,1719%,,,
2,-424,-21200%,,,
10,-388,-3880%,,,
4,-325,-8125%,,,
-24,-460,1917%,,,
-2,-460,23000%,,,
0,-379,#DIV/0!,,,
-1,-433,43300%,,,
12,-388,-3233%,,,
7,-388,-5543%,,,
-28,-442,1579%,,,
-5,-406,8120%,,,
11,-370,-3364%,,,
4,-415,-10375%,,,
9,-406,-4511%,,,
-12,-433,3608%,,,
-3,-451,15033%,,,
11,-343,-3118%,,,
13,-370,-2846%,,,
-12,-397,3308%,,,
8,-379,-4738%,,,
6,-478,-7967%,,,
1,-424,-42400%,,,
15,-388,-2587%,,,
10,-442,-4420%,,,
9,-370,-4111%,,,
-6,-379,6317%,,,
2,-298,-14900%,,,
12,-406,-3383%,,,
-52,-424,815%,,,
10,-334,-3340%,,,
6,-433,-7217%,,,
3,-352,-11733%,,,
-47,-325,691%,,,
5,-334,-6680%,,,
11,-370,-3364%,,,
10,-424,-4240%,,,
10,-397,-3970%,,,
0,-523,#DIV/0!,,,
-5,-289,5780%,,,
-20,-460,2300%,,,
1,-415,-41500%,,,
-18,-280,1556%,,,
-24,-397,1654%,,,
10,-406,-4060%,,,
-15,-451,3007%,,,
10,-460,-4600%,,,
-19,-406,2137%,,,
8,-370,-4625%,,,
11,-442,-4018%,,,
6,-379,-6317%,,,
5,-442,-8840%,,,
4,-397,-9925%,,,
10,-361,-3610%,,,
-21,-442,2105%,,,
-27,-352,1304%,,,
1,-451,-45100%,,,
-47,-388,826%,,,
7,-469,-6700%,,,
-29,-406,1400%,,,
1,-406,-40600%,,,
6,-352,-5867%,,,
11,-397,-3609%,,,
5,-370,-7400%,,,
11,-469,-4264%,,,
12,-514,-4283%,,,
7,-415,-5929%,,,
8,-325,-4063%,,,
7,-388,-5543%,,,
10,-433,-4330%,,,
-27,-433,1604%,,,
-37,-460,1243%,,,
3,-379,-12633%,,,
4,-316,-7900%,,,
9,-415,-4611%,,,
-10,-388,3880%,,,
8,-415,-5188%,,,
-29,-487,1679%,,,
6,-379,-6317%,,,
-4,-370,9250%,,,
4,-352,-8800%,,,
7,-397,-5671%,,,
9,-370,-4111%,,,
10,-460,-4600%,,,
-2,-406,20300%,,,
10,-451,-4510%,,,
-19,-343,1805%,,,
6,-424,-7067%,,,
8,-388,-4850%,,,
-38,-451,1187%,,,
8,-451,-5638%,,,
-2,-442,22100%,,,
-13,-433,3331%,,,
-1,-433,43300%,,,
5,-379,-7580%,,,
5,-388,-7760%,,,
-7,-352,5029%,,,
11,-478,-4345%,,,
10,-370,-3700%,,,
6,-397,-6617%,,,
9,-343,-3811%,,,
1,-442,-44200%,,,
-16,-262,1638%,,,
-3,-343,11433%,,,
-5,-442,8840%,,,
14,-388,-2771%,,,
-46,-451,980%,,,
8,-406,-5075%,,,
-18,-379,2106%,,,
10,-433,-4330%,,,
-58,-352,607%,,,
-101,-460,455%,,,
6,-424,-7067%,,,
9,-433,-4811%,,,
1,-325,-32500%,,,
-2,-397,19850%,,,
11,-370,-3364%,,,
-9,-433,4811%,,,
-17,-415,2441%,,,
8,-379,-4738%,,,
11,-460,-4182%,,,
10,-469,-4690%,,,
-7,-397,5671%,,,
8,-361,-4513%,,,
-61,-406,666%,,,
14,-334,-2386%,,,
-60,-397,662%,,,
7,-352,-5029%,,,
-20,-442,2210%,,,
8,-361,-4513%,,,
-35,-397,1134%,,,
5,-316,-6320%,,,
-4,-388,9700%,,,
11,-370,-3364%,,,
-22,-478,2173%,,,
-68,-361,531%,,,
1,-361,-36100%,,,
9,-460,-5111%,,,
-10,-406,4060%,,,
9,-451,-5011%,,,
-10,-460,4600%,,,
-34,-424,1247%,,,
6,-388,-6467%,,,
14,-415,-2964%,,,
2,-343,-17150%,,,
14,-397,-2836%,,,
1,-361,-36100%,,,
7,-370,-5286%,,,
-10,-406,4060%,,,
8,-352,-4400%,,,
-15,-424,2827%,,,
1,-406,-40600%,,,
2,-397,-19850%,,,
13,-424,-3262%,,,
11,-343,-3118%,,,
12,-424,-3533%,,,
8,-361,-4513%,,,
11,-424,-3855%,,,
-21,-406,1933%,,,
14,-433,-3093%,,,
9,-397,-4411%,,,
5,-478,-9560%,,,
7,-379,-5414%,,,
12,-379,-3158%,,,
5,-379,-7580%,,,
-4,-352,8800%,,,
5,-334,-6680%,,,
-33,-442,1339%,,,
-3,-406,13533%,,,
10,-406,-4060%,,,
5,-433,-8660%,,,
3,-379,-12633%,,,
-15,-433,2887%,,,
-6,-361,6017%,,,
11,-370,-3364%,,,
1,-415,-41500%,,,
7,-406,-5800%,,,
9,-442,-4911%,,,
-15,-433,2887%,,,
14,-406,-2900%,,,
-34,-433,1274%,,,
6,-379,-6317%,,,
-15,-388,2587%,,,
6,-388,-6467%,,,
-9,-334,3711%,,,
14,-334,-2386%,,,
5,-379,-7580%,,,
10,-442,-4420%,,,
8,-442,-5525%,,,
8,-388,-4850%,,,
-24,-424,1767%,,,
-14,-343,2450%,,,
-4,-388,9700%,,,
9,-352,-3911%,,,
6,-203,-3383%,,,
8,-406,-5075%,,,
-9,-406,4511%,,,
5,-442,-8840%,,,
-7,-361,5157%,,,
-3,-370,12333%,,,
-6,-451,7517%,,,
8,-424,-5300%,,,
-20,-361,1805%,,,
8,-343,-4288%,,,
-11,-361,3282%,,,
9,-379,-4211%,,,
12,-352,-2933%,,,
2,-442,-22100%,,,
12,-424,-3533%,,,
-6,-334,5567%,,,
-9,-279,3100%,,,
12,-460,-3833%,,,
3,-361,-12033%,,,
6,-397,-6617%,,,
10,-397,-3970%,,,
-9,-334,3711%,,,
10,-406,-4060%,,,
5,-334,-6680%,,,
-3,-307,10233%,,,
9,-397,-4411%,,,
-12,-406,3383%,,,
3,-415,-13833%,,,
12,-433,-3608%,,,
11,-478,-4345%,,,
-2,-334,16700%,,,
13,-460,-3538%,,,
-16,-397,2481%,,,
4,-415,-10375%,,,
-11,-361,3282%,,,
8,-460,-5750%,,,
11,-388,-3527%,,,
11,-415,-3773%,,,
-13,-307,2362%,,,
15,-424,-2827%,,,
-1,-415,41500%,,,
14,-424,-3029%,,,
6,-397,-6617%,,,
2,-424,-21200%,,,
12,-379,-3158%,,,
9,-415,-4611%,,,
-19,-361,1900%,,,
-27,-352,1304%,,,
4,-397,-9925%,,,
6,-379,-6317%,,,
6,-415,-6917%,,,
12,-442,-3683%,,,
5,-379,-7580%,,,
6,-433,-7217%,,,
1,-361,-36100%,,,
9,-379,-4211%,,,
8,-334,-4175%,,,
8,-415,-5188%,,,
8,-379,-4738%,,,
8,-397,-4963%,,,
-12,-289,2408%,,,
-1,-406,40600%,,,
-33,-433,1312%,,,
8,-361,-4513%,,,
12,-415,-3458%,,,
5,-352,-7040%,,,
9,-397,-4411%,,,
8,-361,-4513%,,,
8,-397,-4963%,,,
-18,-406,2256%,,,
3,-352,-11733%,,,
12,-415,-3458%,,,
-15,-379,2527%,,,
10,-226,-2260%,,,
10,-370,-3700%,,,
12,-415,-3458%,,,
14,-361,-2579%,,,
12,-397,-3308%,,,
14,-433,-3093%,,,
12,-370,-3083%,,,
7,-334,-4771%,,,
-57,-397,696%,,,
8,-406,-5075%,,,
14,-343,-2450%,,,
10,-352,-3520%,,,
2,-424,-21200%,,,
-5,-424,8480%,,,
12,-289,-2408%,,,
7,-316,-4514%,,,
9,-424,-4711%,,,
5,-352,-7040%,,,
2,-397,-19850%,,,
1,-361,-36100%,,,
11,-388,-3527%,,,
12,-325,-2708%,,,
4,-334,-8350%,,,
8,-388,-4850%,,,
7,-352,-5029%,,,
11,-388,-3527%,,,
-1,-424,42400%,,,
-2,-361,18050%,,,
4,-343,-8575%,,,
9,-352,-3911%,,,
1,-415,-41500%,,,
2,-352,-17600%,,,
7,-379,-5414%,,,
4,-433,-10825%,,,
4,-334,-8350%,,,
4,-379,-9475%,,,
-20,-469,2345%,,,
4,-415,-10375%,,,
3,-397,-13233%,,,
9,-334,-3711%,,,
5,-442,-8840%,,,
-17,-325,1912%,,,
-18,-415,2306%,,,
8,-370,-4625%,,,
6,-442,-7367%,,,
-5,-433,8660%,,,
-4,-361,9025%,,,
-16,-424,2650%,,,
15,-352,-2347%,,,
12,-370,-3083%,,,
9,-442,-4911%,,,
-20,-469,2345%,,,
-2,-388,19400%,,,
7,-433,-6186%,,,
-10,-406,4060%,,,
14,-397,-2836%,,,
-5,-397,7940%,,,
-11,-388,3527%,,,
8,-433,-5413%,,,
2,-334,-16700%,,,
9,-388,-4311%,,,
11,-352,-3200%,,,
2,-325,-16250%,,,
14,-361,-2579%,,,
12,-334,-2783%,,,
3,-406,-13533%,,,
6,-460,-7667%,,,
8,-406,-5075%,,,
10,-451,-4510%,,,
6,-424,-7067%,,,
-33,-442,1339%,,,
3,-316,-10533%,,,
13,-433,-3331%,,,
-13,-505,3885%,,,
13,-388,-2985%,,,
10,-442,-4420%,,,
9,-397,-4411%,,,
-4,-343,8575%,,,
-11,-397,3609%,,,
3,-433,-14433%,,,
9,-361,-4011%,,,
4,-352,-8800%,,,
10,-415,-4150%,,,
2,-370,-18500%,,,
8,-379,-4738%,,,
3,-379,-12633%,,,
7,-442,-6314%,,,
3,-451,-15033%,,,
-4,-388,9700%,,,
4,-433,-10825%,,,
8,-433,-5413%,,,
-2,-343,17150%,,,
10,-379,-3790%,,,
6,-370,-6167%,,,
11,-406,-3691%,,,
-1,-370,37000%,,,
3,-343,-11433%,,,
3,-343,-11433%,,,
12,-397,-3308%,,,
1,-361,-36100%,,,
6,-307,-5117%,,,
7,-379,-5414%,,,
9,-424,-4711%,,,
15,-352,-2347%,,,
15,-388,-2587%,,,
8,-352,-4400%,,,
6,-415,-6917%,,,
-19,-334,1758%,,,
13,-352,-2708%,,,
-34,-433,1274%,,,
-10,-334,3340%,,,
7,-442,-6314%,,,
4,-397,-9925%,,,
-12,-379,3158%,,,
11,-406,-3691%,,,
1,-451,-45100%,,,
9,-433,-4811%,,,
14,-370,-2643%,,,
12,-325,-2708%,,,
-11,-442,4018%,,,
6,-370,-6167%,,,
6,-397,-6617%,,,
1,-433,-43300%,,,
13,-433,-3331%,,,
5,-361,-7220%,,,
9,-370,-4111%,,,
-3,-433,14433%,,,
9,-388,-4311%,,,
7,-298,-4257%,,,
14,-352,-2514%,,,
7,-406,-5800%,,,
-3,-370,12333%,,,
7,-415,-5929%,,,
4,-325,-8125%,,,
-2,-334,16700%,,,
8,-343,-4288%,,,
5,-460,-9200%,,,
6,-379,-6317%,,,
11,-424,-3855%,,,
4,-352,-8800%,,,
11,-352,-3200%,,,
8,-343,-4288%,,,
11,-379,-3445%,,,
9,-415,-4611%,,,
8,-415,-5188%,,,
-1,-379,37900%,,,
9,-379,-4211%,,,
3,-397,-13233%,,,
13,-361,-2777%,,,
1,-370,-37000%,,,
5,-352,-7040%,,,
10,-433,-4330%,,,
12,-460,-3833%,,,
8,-442,-5525%,,,
-10,-64,640%,,,
8,-397,-4963%,,,
4,-388,-9700%,,,
14,-460,-3286%,,,
9,-424,-4711%,,,
7,-334,-4771%,,,
7,-361,-5157%,,,
13,-397,-3054%,,,
8,-406,-5075%,,,
-4,-415,10375%,,,
9,-280,-3111%,,,
-6,-334,5567%,,,
3,-379,-12633%,,,
-2,-325,16250%,,,
-16,-478,2988%,,,
7,-388,-5543%,,,
8,-343,-4288%,,,
5,-361,-7220%,,,
-15,-343,2287%,,,
4,-388,-9700%,,,
9,-316,-3511%,,,
6,-388,-6467%,,,
2,-334,-16700%,,,
-7,-433,6186%,,,
9,-397,-4411%,,,
-7,-460,6571%,,,
8,-388,-4850%,,,
11,-388,-3527%,,,
1,-343,-34300%,,,
10,-379,-3790%,,,
12,-397,-3308%,,,
8,-478,-5975%,,,
10,-325,-3250%,,,
9,-397,-4411%,,,
8,-361,-4513%,,,
5,-451,-9020%,,,
9,-370,-4111%,,,
8,-424,-5300%,,,
6,-415,-6917%,,,
8,-370,-4625%,,,
7,-424,-6057%,,,
3,-379,-12633%,,,
-31,-424,1368%,,,
6,-343,-5717%,,,
-3,-478,15933%,,,
10,-442,-4420%,,,
3,-460,-15333%,,,
5,-406,-8120%,,,
14,-424,-3029%,,,
2,-424,-21200%,,,
14,-352,-2514%,,,
5,-451,-9020%,,,
8,-415,-5188%,,,
10,-406,-4060%,,,
-14,-361,2579%,,,
10,-379,-3790%,,,
9,-406,-4511%,,,
1,-334,-33400%,,,
7,-478,-6829%,,,
8,-179,-2238%,,,
6,-442,-7367%,,,
0,-415,#DIV/0!,,,
4,-334,-8350%,,,
11,-415,-3773%,,,
4,-352,-8800%,,,
6,-307,-5117%,,,
6,-388,-6467%,,,
7,-460,-6571%,,,
-4,-352,8800%,,,
8,-325,-4063%,,,
-2,-442,22100%,,,
4,-388,-9700%,,,
6,-370,-6167%,,,
12,-478,-3983%,,,
11,-370,-3364%,,,
9,-361,-4011%,,,
10,-451,-4510%,,,
7,-424,-6057%,,,
4,-370,-9250%,,,
8,-433,-5413%,,,
6,-514,-8567%,,,
11,-442,-4018%,,,
-8,-397,4963%,,,
8,-343,-4288%,,,
0,-388,#DIV/0!,,,
9,-370,-4111%,,,
2,-361,-18050%,,,
6,-352,-5867%,,,
6,-424,-7067%,,,
11,-424,-3855%,,,
-7,-433,6186%,,,
6,-415,-6917%,,,
1,-469,-46900%,,,
9,-415,-4611%,,,
8,-406,-5075%,,,
-6,-361,6017%,,,
-3,-442,14733%,,,
7,-415,-5929%,,,
3,-442,-14733%,,,
5,-433,-8660%,,,
-39,-352,903%,,,
11,-415,-3773%,,,
6,-370,-6167%,,,
5,-334,-6680%,,,
-9,-361,4011%,,,
6,-415,-6917%,,,
4,-415,-10375%,,,
1,-415,-41500%,,,
6,-379,-6317%,,,
14,-406,-2900%,,,
8,-388,-4850%,,,
6,-307,-5117%,,,
-4,-397,9925%,,,
10,-379,-3790%,,,
7,-415,-5929%,,,
6,-361,-6017%,,,
6,-406,-6767%,,,
1,-424,-42400%,,,
6,-424,-7067%,,,
6,-370,-6167%,,,
8,-424,-5300%,,,
-3,-352,11733%,,,
-1,-388,38800%,,,
4,-424,-10600%,,,
-4,-307,7675%,,,
0,-397,#DIV/0!,,,
-6,-334,5567%,,,
10,-271,-2710%,,,
2,-415,-20750%,,,
15,-334,-2227%,,,
8,-361,-4513%,,,
9,-397,-4411%,,,
8,-442,-5525%,,,
4,-451,-11275%,,,
8,-397,-4963%,,,
11,-388,-3527%,,,
5,-406,-8120%,,,
-7,-505,7214%,,,
9,-415,-4611%,,,
11,-424,-3855%,,,
-11,-433,3936%,,,
-14,-424,3029%,,,
11,-397,-3609%,,,
10,-388,-3880%,,,
14,-406,-2900%,,,
6,-415,-6917%,,,
7,-325,-4643%,,,
-6,-343,5717%,,,
6,-379,-6317%,,,
8,-289,-3613%,,,
10,-451,-4510%,,,
3,-424,-14133%,,,
-1,-415,41500%,,,
12,-415,-3458%,,,
9,-388,-4311%,,,
-6,-397,6617%,,,
9,-397,-4411%,,,
2,-415,-20750%,,,
7,-442,-6314%,,,
8,-406,-5075%,,,
11,-334,-3036%,,,
10,-442,-4420%,,,
9,-451,-5011%,,,
14,-451,-3221%,,,
0,-442,#DIV/0!,,,
6,-352,-5867%,,,
6,-406,-6767%,,,
7,-343,-4900%,,,
-16,-415,2594%,,,
-18,-397,2206%,,,
-2,-406,20300%,,,
7,-406,-5800%,,,
3,-415,-13833%,,,
0,-352,#DIV/0!,,,
12,-271,-2258%,,,
6,-370,-6167%,,,
4,-379,-9475%,,,
9,-442,-4911%,,,
11,-460,-4182%,,,
3,-388,-12933%,,,
7,-397,-5671%,,,
5,-433,-8660%,,,
8,-487,-6088%,,,
3,-397,-13233%,,,
11,-361,-3282%,,,
12,-433,-3608%,,,
11,-415,-3773%,,,
-22,-361,1641%,,,
8,-388,-4850%,,,
9,-397,-4411%,,,
2,-424,-21200%,,,
-5,-325,6500%,,,
3,-334,-11133%,,,
9,-388,-4311%,,,
6,-388,-6467%,,,
8,-415,-5188%,,,
5,-415,-8300%,,,
8,-406,-5075%,,,
10,-442,-4420%,,,
2,-442,-22100%,,,
-15,-397,2647%,,,
7,-370,-5286%,,,
10,-433,-4330%,,,
11,-433,-3936%,,,
11,-442,-4018%,,,
11,-415,-3773%,,,
8,-388,-4850%,,,
8,-352,-4400%,,,
8,-442,-5525%,,,
4,-352,-8800%,,,
8,-298,-3725%,,,
7,-370,-5286%,,,
11,-388,-3527%,,,
7,-406,-5800%,,,
9,-388,-4311%,,,
4,-379,-9475%,,,
4,-424,-10600%,,,
-4,-433,10825%,,,
6,-424,-7067%,,,
1,-460,-46000%,,,
7,-334,-4771%,,,
7,-290,-4143%,,,
9,-388,-4311%,,,
5,-451,-9020%,,,
11,-370,-3364%,,,
-4,-442,11050%,,,
0,-352,#DIV/0!,,,
11,-361,-3282%,,,
12,-406,-3383%,,,
7,-487,-6957%,,,
10,-424,-4240%,,,
-16,-415,2594%,,,
6,-388,-6467%,,,
6,-370,-6167%,,,
10,-415,-4150%,,,
9,-325,-3611%,,,
10,-442,-4420%,,,
6,-352,-5867%,,,
8,-316,-3950%,,,
9,-406,-4511%,,,
4,-379,-9475%,,,
6,-442,-7367%,,,
12,-334,-2783%,,,
9,-352,-3911%,,,
6,-325,-5417%,,,
-20,-424,2120%,,,
11,-406,-3691%,,,
0,-262,#DIV/0!,,,
6,-406,-6767%,,,
8,-352,-4400%,,,
4,-388,-9700%,,,
8,-370,-4625%,,,
2,-361,-18050%,,,
4,-379,-9475%,,,
8,-334,-4175%,,,
10,-433,-4330%,,,
8,-334,-4175%,,,
8,-361,-4513%,,,
6,-415,-6917%,,,
7,-352,-5029%,,,
9,-379,-4211%,,,
9,-397,-4411%,,,
11,-361,-3282%,,,
8,-433,-5413%,,,
9,-370,-4111%,,,
-2,-433,21650%,,,
8,-397,-4963%,,,
4,-379,-9475%,,,
7,-379,-5414%,,,
8,-406,-5075%,,,
2,-397,-19850%,,,
8,-334,-4175%,,,
10,-415,-4150%,,,
7,-325,-4643%,,,
-3,-442,14733%,,,
5,-370,-7400%,,,
2,-379,-18950%,,,
5,-352,-7040%,,,
-2,-343,17150%,,,
10,-334,-3340%,,,
5,-451,-9020%,,,
1,-388,-38800%,,,
12,-343,-2858%,,,
8,-424,-5300%,,,
-10,-433,4330%,,,
9,-361,-4011%,,,
10,-415,-4150%,,,
7,-433,-6186%,,,
8,-433,-5413%,,,
7,-343,-4900%,,,
6,-370,-6167%,,,
6,-370,-6167%,,,
4,-328,-8200%,,,
10,-388,-3880%,,,
11,-442,-4018%,,,
13,-460,-3538%,,,
11,-397,-3609%,,,
8,-433,-5413%,,,
-15,-397,2647%,,,
8,-442,-5525%,,,
11,-352,-3200%,,,
5,-415,-8300%,,,
-2,-442,22100%,,,
11,-334,-3036%,,,
7,-352,-5029%,,,
13,-352,-2708%,,,
6,-415,-6917%,,,
6,-379,-6317%,,,
11,-433,-3936%,,,
2,-379,-18950%,,,
11,-370,-3364%,,,
7,-379,-5414%,,,
4,-352,-8800%,,,
7,-242,-3457%,,,
4,-424,-10600%,,,
0,-415,#DIV/0!,,,
4,-406,-10150%,,,
7,-388,-5543%,,,
9,-325,-3611%,,,
-10,-406,4060%,,,
-11,-424,3855%,,,
8,-415,-5188%,,,
8,-451,-5638%,,,
8,-379,-4738%,,,
10,-334,-3340%,,,
9,-388,-4311%,,,
8,-388,-4850%,,,
2,-487,-24350%,,,
1,-370,-37000%,,,
6,-379,-6317%,,,
9,-388,-4311%,,,
13,-424,-3262%,,,
8,-379,-4738%,,,
5,-406,-8120%,,,
7,-451,-6443%,,,
8,-424,-5300%,,,
6,-424,-7067%,,,
7,-343,-4900%,,,
9,-415,-4611%,,,
12,-397,-3308%,,,
11,-415,-3773%,,,
6,-406,-6767%,,,
11,-442,-4018%,,,
11,-379,-3445%,,,
11,-424,-3855%,,,
-20,-415,2075%,,,
0,-451,#DIV/0!,,,
3,-406,-13533%,,,
8,-307,-3838%,,,
5,-406,-8120%,,,
12,-397,-3308%,,,
6,-388,-6467%,,,
3,-442,-14733%,,,
9,-433,-4811%,,,
10,-343,-3430%,,,
9,-442,-4911%,,,
3,-424,-14133%,,,
2,-442,-22100%,,,
5,-388,-7760%,,,
5,-424,-8480%,,,
6,-379,-6317%,,,
-26,-343,1319%,,,
3,-352,-11733%,,,
11,-361,-3282%,,,
-6,-415,6917%,,,
9,-397,-4411%,,,
-12,-352,2933%,,,
9,-379,-4211%,,,
13,-424,-3262%,,,
